team,game_number,runs_for,runs_against
SEA,1,4,2
SEA,2,0,7
SEA,3,2,4
SEA,4,2,1
SEA,5,6,9
SEA,6,1,4
SEA,7,3,2
SEA,8,9,10
SEA,9,1,4
SEA,10,4,5
SEA,11,4,3
SEA,12,1,2
SEA,13,7,6
SEA,14,5,3
SEA,15,9,2
SEA,16,3,1
SEA,17,4,8
SEA,18,5,3
SEA,19,11,7
SEA,20,1,3
SEA,21,8,4
SEA,22,8,3
SEA,23,3,8
SEA,24,8,5
SEA,25,4,3
SEA,26,4,8
SEA,27,14,0
SEA,28,7,6
SEA,29,5,3
SEA,30,9,3
SEA,31,13,1
SEA,32,2,1
SEA,33,1,8
SEA,34,6,7
SEA,35,5,3
SEA,36,6,5
SEA,37,3,6
SEA,38,3,6
SEA,39,1,9
SEA,40,5,11
SEA,41,2,1
SEA,42,2,3
SEA,43,5,1
SEA,44,4,1
SEA,45,6,1
SEA,46,5,1
SEA,47,0,1
SEA,48,6,5
SEA,49,2,9
SEA,50,5,3
SEA,51,1,2
SEA,52,3,5
SEA,53,9,1
SEA,54,0,9
SEA,55,3,9
SEA,56,6,12
SEA,57,5,4
SEA,58,2,1
SEA,59,1,5
SEA,60,2,3
SEA,61,3,4
SEA,62,4,5
SEA,63,6,8
SEA,64,3,2
SEA,65,4,8
SEA,66,3,10
SEA,67,2,5
SEA,68,7,2
SEA,69,4,3
SEA,70,6,0
SEA,71,0,2
SEA,72,8,0
SEA,73,1,3
SEA,74,9,4
SEA,75,7,10
SEA,76,14,6
SEA,77,11,2
SEA,78,6,5
SEA,79,0,2
SEA,80,1,10
SEA,81,7,6
SEA,82,2,3
HOU,1,3,1
HOU,2,1,3
HOU,3,2,1
HOU,4,2,7
HOU,5,1,3
HOU,6,3,6
HOU,7,5,2
HOU,8,1,6
HOU,9,9,7
HOU,10,3,4
HOU,11,2,1
HOU,12,6,7
HOU,13,14,3
HOU,14,1,4
HOU,15,7,3
HOU,16,3,8
HOU,17,2,0
HOU,18,1,4
HOU,19,6,4
HOU,20,3,2
HOU,21,2,3
HOU,22,7,0
HOU,23,5,1
HOU,24,3,1
HOU,25,0,2
HOU,26,0,2
HOU,27,7,3
HOU,28,8,5
HOU,29,6,4
HOU,30,4,7
HOU,31,3,7
HOU,32,8,3
HOU,33,4,5
HOU,34,1,5
HOU,35,3,4
HOU,36,9,1
HOU,37,3,0
HOU,38,9,13
HOU,39,6,0
HOU,40,5,7
HOU,41,2,1
HOU,42,4,3
HOU,43,0,1
HOU,44,6,3
HOU,45,1,5
HOU,46,4,3
HOU,47,4,3
HOU,48,2,3
HOU,49,4,8
HOU,50,9,2
HOU,51,3,5
HOU,52,2,1
HOU,53,5,3
HOU,54,11,1
HOU,55,5,3
HOU,56,3,13
HOU,57,2,1
HOU,58,3,16
HOU,59,1,0
HOU,60,3,0
HOU,61,0,3
HOU,62,8,2
HOU,63,4,2
HOU,64,5,3
HOU,65,2,4
HOU,66,2,4
HOU,67,10,2
HOU,68,4,3
HOU,69,10,3
HOU,70,3,2
HOU,71,2,1
HOU,72,1,3
HOU,73,13,3
HOU,74,11,4
HOU,75,4,6
HOU,76,3,2
HOU,77,1,9
HOU,78,8,7
HOU,79,1,0
HOU,80,2,0
HOU,81,2,1
HOU,82,7,4
HOU,83,3,12
LAA,1,1,8
LAA,2,1,0
LAA,3,3,2
LAA,4,5,4
LAA,5,9,7
LAA,6,5,12
LAA,7,6,8
LAA,8,10,4
LAA,9,6,2
LAA,10,4,3
LAA,11,4,5
LAA,12,11,1
LAA,13,3,14
LAA,14,4,1
LAA,15,3,7
LAA,16,0,4
LAA,17,1,3
LAA,18,3,5
LAA,19,2,0
LAA,20,2,3
LAA,21,5,4
LAA,22,3,9
LAA,23,0,3
LAA,24,4,3
LAA,25,4,11
LAA,26,1,5
LAA,27,0,5
LAA,28,3,5
LAA,29,3,9
