team,game_number,runs_for,runs_against
SDP,1,7,4
SDP,2,4,3
SDP,3,1,0
SDP,4,5,0
SDP,5,7,2
SDP,6,7,0
SDP,7,5,2
SDP,8,1,3
SDP,9,1,7
SDP,10,8,7
SDP,11,5,4
SDP,12,4,10
SDP,13,2,1
SDP,14,8,0
SDP,15,2,0
SDP,16,6,0
SDP,17,10,4
SDP,18,1,2
SDP,19,4,2
SDP,20,4,6
SDP,21,2,3
SDP,22,3,2
SDP,23,4,6
SDP,24,2,0
SDP,25,0,6
SDP,26,0,1
SDP,27,1,4
SDP,28,2,4
SDP,29,7,4
SDP,30,5,3
SDP,31,9,4
SDP,32,2,1
SDP,33,4,0
SDP,34,4,3
SDP,35,3,12
SDP,36,3,4
SDP,37,13,9
SDP,38,21,0
SDP,39,3,9
SDP,40,5,9
SDP,41,6,4
SDP,42,5,1
SDP,43,1,5
SDP,44,1,4
SDP,45,1,6
SDP,46,0,3
SDP,47,0,14
SDP,48,6,7
SDP,49,2,1
SDP,50,1,7
SDP,51,5,3
SDP,52,4,3
SDP,53,8,6
SDP,54,8,10
SDP,55,3,2
SDP,56,0,5
SDP,57,6,4
SDP,58,1,0
SDP,59,3,2
SDP,60,5,6
SDP,61,2,3
SDP,62,2,0
SDP,63,3,4
SDP,64,1,0
SDP,65,7,8
SDP,66,11,1
SDP,67,2,5
SDP,68,1,5
SDP,69,7,8
SDP,70,8,2
SDP,71,3,6
SDP,72,6,8
SDP,73,3,4
SDP,74,5,3
SDP,75,5,6
SDP,76,5,1
SDP,77,3,2
SDP,78,6,10
SDP,79,4,3
SDP,80,1,0
SDP,81,1,8
SDP,82,6,4
COL,1,2,3
COL,2,2,1
COL,3,4,6
COL,4,1,6
COL,5,1,5
COL,6,1,3
COL,7,3,6
COL,8,4,7
COL,9,12,5
COL,10,1,7
COL,11,2,17
COL,12,7,2
COL,13,0,8
COL,14,0,2
COL,15,0,6
COL,16,3,5
COL,17,2,6
COL,18,7,8
COL,19,11,12
COL,20,2,3
COL,21,3,1
COL,22,3,4
COL,23,4,7
COL,24,2,6
COL,25,7,8
COL,26,4,6
COL,27,1,8
COL,28,3,6
COL,29,2,8
COL,30,2,1
COL,31,4,3
COL,32,0,4
COL,33,3,6
COL,34,3,9
COL,35,6,8
COL,36,2,10
COL,37,1,11
COL,38,9,13
COL,39,0,21
COL,40,9,3
COL,41,1,2
COL,42,1,4
COL,43,3,8
COL,44,0,8
COL,45,14,12
COL,46,0,1
COL,47,3,9
COL,48,4,7
COL,49,5,9
COL,50,0,2
COL,51,3,2
COL,52,1,13
COL,53,4,5
COL,54,1,3
COL,55,3,4
COL,56,1,2
COL,57,2,4
COL,58,2,8
COL,59,3,5
COL,60,6,4
COL,61,3,2
COL,62,3,2
COL,63,2,4
COL,64,1,8
COL,65,5,13
COL,66,5,6
COL,67,7,10
COL,68,8,7
COL,69,4,12
COL,70,1,4
COL,71,10,1
COL,72,6,4
COL,73,10,6
COL,74,3,1
COL,75,3,4
COL,76,8,14
COL,77,3,5
COL,78,4,2
COL,79,7,9
COL,80,1,8
COL,81,1,3
COL,82,6,10
COL,83,0,5
SFG,1,6,4
SFG,2,2,3
SFG,3,6,3
SFG,4,7,2
SFG,5,3,1
SFG,6,6,3
SFG,7,10,9
SFG,8,4,1
SFG,9,5,4
SFG,10,0,2
SFG,11,0,1
SFG,12,8,6
SFG,13,9,1
SFG,14,4,8
SFG,15,5,4
SFG,16,10,4
SFG,17,4,6
SFG,18,11,4
SFG,19,4,6
SFG,20,0,2
SFG,21,3,2
SFG,22,4,5
SFG,23,5,2
SFG,24,3,11
SFG,25,4,2
SFG,26,6,5
SFG,27,0,2
SFG,28,3,2
SFG,29,3,2
SFG,30,4,7
SFG,31,3,5
SFG,32,3,4
SFG,33,4,0
SFG,34,6,3
SFG,35,9,3
SFG,36,2,9
SFG,37,14,5
SFG,38,3,1
SFG,39,1,3
SFG,40,1,2
SFG,41,6,7
SFG,42,1,2
SFG,43,10,6
SFG,44,7,8
SFG,45,9,1
SFG,46,1,0
SFG,47,3,2
SFG,48,1,3
SFG,49,3,2
SFG,50,4,8
SFG,51,4,0
SFG,52,0,3
SFG,53,3,2
SFG,54,1,3
SFG,55,1,3
SFG,56,3,4
SFG,57,2,0
SFG,58,0,1
SFG,59,4,2
