"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alex Newhook","C","13.383333333333","11","12","47.83","9.73","9","11","45.00","12.50","7","7","50.00","22.73","2","1","66.67","66.67","0.73","0.73","49.95","8.67","5","8","38.46","-15.59","3","4","42.86","0.00","3","0","0","10","100.00","5","3","2","71.43"
"Arber Xhekaj","D","13.833333333333","6","14","30.00","-13.94","1","12","7.69","-36.99","1","8","11.11","-33.33","0","1","0.00","-66.67","0.24","0.69","25.93","-22.78","4","6","40.00","-12.50","1","2","33.33","-11.11","0","5","1","12","0.00","1","5","3","25.00"
"Brendan Gallagher","R","11.5","7","13","35.00","-7.42","3","11","21.43","-19.88","1","5","16.67","-23.33","0","0","-","-","0.53","0.37","58.88","18.47","4","3","57.14","8.31","2","2","50.00","8.82","1","5","1","8","50.00","1","6","2","33.33"
"Christian Dvorak","C","9.4333333333333","8","10","44.44","4.74","4","9","30.77","-7.53","3","5","37.50","1.79","1","0","100.00","66.67","0.62","0.28","69.08","31.15","5","3","62.50","14.88","3","1","75.00","39.71","1","4","0","6","100.00","1","5","1","50.00"
"Cole Caufield","R","13.05","9","10","47.37","8.56","7","10","41.18","6.29","5","6","45.45","13.45","1","0","100.00","66.67","0.47","0.69","40.62","-4.57","4","7","36.36","-17.48","2","4","33.33","-13.33","3","2","0","8","100.00","5","3","2","71.43"
"David Savard","D","13.283333333333","9","10","47.37","8.56","3","8","27.27","-11.50","3","5","37.50","1.79","1","0","100.00","66.67","0.33","0.71","31.92","-15.73","5","5","50.00","0.00","2","4","33.33","-13.33","0","4","1","12","0.00","3","4","2","60.00"
"Emil Heineman","L","11.2","11","17","39.29","-2.09","7","9","43.75","9.66","3","6","33.33","-3.70","0","0","-","-","0.44","0.62","41.85","-2.85","8","7","53.33","4.76","2","3","40.00","-3.75","0","0","2","10","0.00","1","1","3","25.00"
"Jake Evans","C","11.916666666667","14","19","42.42","2.80","8","10","44.44","11.11","4","8","33.33","-4.17","0","1","0.00","-66.67","0.62","0.89","41.28","-4.12","10","8","55.56","8.68","3","4","42.86","0.00","0","0","2","11","0.00","1","1","3","25.00"
"Jayden Struble","D","13.033333333333","19","17","52.78","20.78","14","10","58.33","36.11","7","8","46.67","18.10","1","1","50.00","0.00","1.12","0.58","65.97","34.89","11","9","55.00","8.33","5","3","62.50","31.73","0","0","1","13","0.00","2","1","1","66.67"
"Joel Armia","R","8","4","12","25.00","-19.29","3","6","33.33","-3.92","2","5","28.57","-9.36","0","2","0.00","-100.00","0.27","0.6","30.99","-16.14","3","8","27.27","-29.14","2","3","40.00","-3.75","0","0","0","7","-","2","2","1","66.67"
"Josh Anderson","R","10.466666666667","11","11","50.00","12.50","5","9","35.71","-1.24","4","5","44.44","11.11","1","0","100.00","66.67","0.8","0.28","74.21","39.45","7","3","70.00","25.00","4","1","80.00","48.75","1","4","0","8","100.00","1","5","1","50.00"
"Joshua Roy","R","11.233333333333","13","15","46.43","8.50","7","10","41.18","6.29","3","8","27.27","-12.73","0","0","-","-","0.49","0.87","35.86","-11.63","9","5","64.29","19.84","2","3","40.00","-3.75","0","0","2","11","0.00","0","2","3","0.00"
"Juraj Slafkovsky","L","8.2666666666667","4","10","28.57","-14.48","3","8","27.27","-11.50","1","4","20.00","-18.71","0","1","0.00","-66.67","0.3","0.67","31.08","-16.43","2","6","25.00","-29.76","1","3","25.00","-22.06","0","2","2","5","0.00","1","3","3","25.00"
"Justin Barron","D","13.25","14","15","48.28","11.43","9","11","45.00","12.50","4","5","44.44","11.11","0","0","-","-","0.73","0.43","62.87","25.27","10","4","71.43","29.76","4","2","66.67","33.33","1","4","2","10","33.33","2","4","3","40.00"
"Kaiden Guhle","D","16.883333333333","11","25","30.56","-17.44","8","18","30.77","-10.41","5","11","31.25","-8.75","1","1","50.00","0.00","0.82","1.54","34.65","-19.35","6","15","28.57","-36.95","3","7","30.00","-24.55","1","3","2","10","33.33","4","4","4","50.00"
"Kirby Dach","C","8.5","4","11","26.67","-17.00","3","9","25.00","-14.58","1","4","20.00","-18.71","0","1","0.00","-66.67","0.3","0.71","29.81","-18.24","2","7","22.22","-33.88","1","3","25.00","-22.06","0","1","2","6","0.00","1","3","3","25.00"
"Lane Hutson","D","17","11","22","33.33","-11.95","9","18","33.33","-6.06","6","10","37.50","2.50","1","1","50.00","0.00","0.78","1.21","39.18","-8.61","6","12","33.33","-26.04","3","6","33.33","-16.67","2","4","2","11","50.00","4","6","5","44.44"
"Nick Suzuki","C","13.516666666667","9","12","42.86","2.86","7","11","38.89","3.17","5","5","50.00","19.23","1","0","100.00","66.67","0.47","0.93","33.56","-15.11","4","9","30.77","-25.99","2","5","28.57","-21.43","3","1","1","8","75.00","5","2","3","62.50"
