"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Alex Newhook","C","13.383333333333","1","0","0","0","1","2","50","0.31","2","2","2","0","1","0","2","1","1","0","0","0","0","0","0","0","0","2","5","28.57"
"Arber Xhekaj","D","13.833333333333","0","1","0","1","1","0","-","0","1","0","0","0","0","0","2","1","1","0","0","0","0","0","7","0","0","0","0","-"
"Brendan Gallagher","R","11.5","0","0","0","0","0","0","-","0.17","1","0","0","0","0","0","0","0","0","0","0","1","0","0","9","1","0","0","0","-"
"Christian Dvorak","C","9.4333333333333","0","1","1","0","1","2","0","0.28","4","3","1","1","1","2","0","0","0","0","0","1","0","0","1","0","1","4","3","57.14"
"Cole Caufield","R","13.05","0","1","1","0","1","3","0","0.27","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"David Savard","D","13.283333333333","0","1","0","1","1","0","-","0","1","0","0","0","0","0","12","2","1","0","1","0","1","2","0","2","1","0","0","-"
"Emil Heineman","L","11.2","0","0","0","0","0","1","0","0.12","2","2","0","0","0","0","0","0","0","0","0","0","0","1","5","0","3","0","0","-"
"Jake Evans","C","11.916666666667","0","0","0","0","0","1","0","0.24","4","3","1","0","0","0","2","1","1","0","0","0","1","0","1","1","1","3","2","60"
"Jayden Struble","D","13.033333333333","1","0","0","0","1","1","100","0.1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","0","0","-"
"Joel Armia","R","8","0","0","0","0","0","0","-","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","100"
"Josh Anderson","R","10.466666666667","0","0","0","0","0","0","-","0.12","3","2","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","-"
"Joshua Roy","R","11.233333333333","0","0","0","0","0","1","0","0.24","3","3","2","0","1","0","2","1","1","0","0","1","1","0","1","3","0","0","0","-"
"Juraj Slafkovsky","L","8.2666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","-"
"Justin Barron","D","13.25","0","0","0","0","0","1","0","0.02","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"Kaiden Guhle","D","16.883333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","1","0","0","-"
"Kirby Dach","C","8.5","0","0","0","0","0","1","0","0.13","2","1","1","0","0","0","0","0","0","0","0","1","0","0","2","2","1","2","3","40"
"Lane Hutson","D","17","0","0","0","0","0","0","-","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","-"
"Nick Suzuki","C","13.516666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","2","50"
