"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alex Newhook","C","0.13333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Arber Xhekaj","D","2.2833333333333","0","3","0.00","-9.09","0","2","0.00","-16.67","0","2","0.00","0.00","0","0","-","-","0","0.22","0.00","-12.41","0","2","0.00","-60.00","0","1","0.00","0.00","0","0","1","2","0.00","0","0","1","0.00"
"Brendan Gallagher","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Christian Dvorak","C","4.0833333333333","1","10","9.09","9.09","1","5","16.67","16.67","0","2","0.00","0.00","0","0","-","-","0.06","0.42","12.41","12.41","1","4","20.00","-51.43","0","2","0.00","0.00","0","1","0","2","-","0","1","1","0.00"
"Cole Caufield","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"David Savard","D","4.6","1","5","16.67","16.67","1","2","33.33","33.33","0","0","-","-","0","0","-","-","0.06","0.15","28.61","28.61","1","2","33.33","-22.22","0","1","0.00","0.00","0","0","2","0","0.00","0","1","4","0.00"
"Emil Heineman","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Jake Evans","C","2.7333333333333","0","3","0.00","-9.09","0","2","0.00","-16.67","0","2","0.00","0.00","0","0","-","-","0","0.22","0.00","-12.41","0","2","0.00","-60.00","0","1","0.00","0.00","0","0","2","2","0.00","0","0","2","0.00"
"Jayden Struble","D","3.4","0","8","0.00","-16.67","0","5","0.00","-33.33","0","4","0.00","-","0","0","-","-","0","0.5","0.00","-28.61","0","4","0.00","-75.00","0","2","0.00","0.00","0","0","1","3","0.00","0","0","1","0.00"
"Joel Armia","R","4.05","0","3","0.00","-9.09","0","2","0.00","-16.67","0","2","0.00","0.00","0","0","-","-","0","0.22","0.00","-12.41","0","2","0.00","-60.00","0","1","0.00","0.00","0","0","4","2","0.00","0","0","4","0.00"
"Josh Anderson","R","3.0166666666667","1","7","12.50","12.50","1","4","20.00","20.00","0","2","0.00","0.00","0","0","-","-","0.06","0.31","15.99","15.99","1","3","25.00","-37.50","0","1","0.00","0.00","0","1","1","1","0.00","0","1","1","0.00"
"Joshua Roy","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Juraj Slafkovsky","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Justin Barron","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Kaiden Guhle","D","5.75","1","10","9.09","9.09","1","5","16.67","16.67","0","2","0.00","0.00","0","0","-","-","0.06","0.42","12.41","12.41","1","4","20.00","-51.43","0","2","0.00","0.00","0","0","3","0","0.00","0","1","4","0.00"
"Kirby Dach","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Lane Hutson","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Nick Suzuki","C","1.95","0","3","0.00","-9.09","0","1","0.00","-14.29","0","0","-","-","0","0","-","-","0","0.11","0.00","-9.98","0","1","0.00","-54.55","0","1","0.00","0.00","0","0","2","1","0.00","0","0","2","0.00"
