"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alex Newhook","C","2.65","3","0","100.00","0.00","1","0","100.00","0.00","0","0","-","-","0","0","-","-","0.08","0","100.00","0.00","3","0","100.00","0.00","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Arber Xhekaj","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Brendan Gallagher","R","2.4333333333333","3","0","100.00","0.00","1","0","100.00","0.00","0","0","-","-","0","0","-","-","0.08","0","100.00","0.00","3","0","100.00","0.00","0","0","-","-","1","0","0","1","100.00","2","0","0","100.00"
"Christian Dvorak","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Cole Caufield","R","3.1666666666667","4","0","100.00","0.00","4","0","100.00","0.00","0","0","-","-","0","0","-","-","0.47","0","100.00","0.00","3","0","100.00","0.00","2","0","100.00","-","2","0","0","1","100.00","3","0","1","75.00"
"David Savard","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Emil Heineman","L","2.35","3","0","100.00","0.00","1","0","100.00","0.00","0","0","-","-","0","0","-","-","0.08","0","100.00","0.00","3","0","100.00","0.00","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Jake Evans","C","0.28333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Jayden Struble","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Joel Armia","R","2.6","3","0","100.00","0.00","1","0","100.00","0.00","0","0","-","-","0","0","-","-","0.08","0","100.00","0.00","3","0","100.00","0.00","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Josh Anderson","R","0.16666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Joshua Roy","R","0.26666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Juraj Slafkovsky","L","3.2166666666667","4","0","100.00","0.00","4","0","100.00","0.00","0","0","-","-","0","0","-","-","0.47","0","100.00","0.00","3","0","100.00","0.00","2","0","100.00","-","2","0","0","1","100.00","3","0","1","75.00"
"Justin Barron","D","0.28333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Kaiden Guhle","D","0.46666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","3","-","0","0","0","-"
"Kirby Dach","C","3.2666666666667","4","0","100.00","0.00","4","0","100.00","0.00","0","0","-","-","0","0","-","-","0.47","0","100.00","0.00","3","0","100.00","0.00","2","0","100.00","-","2","0","0","1","100.00","3","0","1","75.00"
"Lane Hutson","D","5.75","7","0","100.00","-","5","0","100.00","-","0","0","-","-","0","0","-","-","0.55","0","100.00","-","6","0","100.00","0.00","2","0","100.00","-","0","0","0","0","-","5","0","1","83.33"
"Nick Suzuki","C","3.1","4","0","100.00","0.00","4","0","100.00","0.00","0","0","-","-","0","0","-","-","0.47","0","100.00","0.00","3","0","100.00","0.00","2","0","100.00","-","2","0","0","1","100.00","3","0","1","75.00"
