"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Alex Newhook","C","2.65","0","0","0","0","0","0","-","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50"
"Brendan Gallagher","R","2.4333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"Cole Caufield","R","3.1666666666667","0","0","0","0","0","0","-","0.18","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Emil Heineman","L","2.35","0","0","0","0","0","0","-","0.08","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Jake Evans","C","0.28333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Joel Armia","R","2.6","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"Josh Anderson","R","0.16666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Joshua Roy","R","0.26666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Juraj Slafkovsky","L","3.2166666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Justin Barron","D","0.28333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Kaiden Guhle","D","0.46666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Kirby Dach","C","3.2666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Lane Hutson","D","5.75","0","0","0","0","0","0","-","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"Nick Suzuki","C","3.1","0","0","0","0","0","0","-","0.3","2","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","1","75"
