"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alexander Kerfoot","C","12.75","17","5","77.27","24.15","12","1","92.31","36.99","5","0","100.00","41.94","0","0","-","-","0.55","0.07","89.05","38.23","6","3","66.67","21.21","2","0","100.00","47.37","2","4","1","10","66.67","3","5","2","60.00"
"Barrett Hayton","C","11.816666666667","11","8","57.89","-1.81","10","5","66.67","4.44","7","4","63.64","-0.36","0","0","-","-","1.1","0.34","76.29","29.67","8","3","72.73","30.79","6","2","75.00","28.85","1","4","3","8","25.00","2","4","5","28.57"
"Clayton Keller","R","13.233333333333","14","9","60.87","2.14","13","6","68.42","7.45","10","5","66.67","4.76","1","1","50.00","0.00","1.2","0.52","69.76","22.09","11","3","78.57","42.86","6","2","75.00","28.85","0","2","3","12","0.00","2","4","5","28.57"
"Dylan Guenther","R","11.116666666667","13","10","56.52","-3.80","9","7","56.25","-9.66","7","2","77.78","18.52","2","0","100.00","100.00","0.3","0.53","35.99","-24.40","6","8","42.86","-10.71","1","3","25.00","-39.71","1","0","1","12","50.00","2","1","1","66.67"
"Ian Cole","D","18.55","19","14","57.58","-2.80","16","10","61.54","-3.17","8","6","57.14","-11.04","0","1","0.00","-66.67","0.81","0.98","45.27","-17.60","7","9","43.75","-10.10","3","3","50.00","-10.00","3","3","0","17","100.00","5","6","1","83.33"
"Jack McBain","C","11.966666666667","18","11","62.07","4.17","12","8","60.00","-5.00","6","2","75.00","14.29","1","0","100.00","66.67","0.52","0.54","48.99","-9.07","6","8","42.86","-10.71","2","3","40.00","-22.50","3","2","1","12","75.00","3","3","1","75.00"
"Kevin Stenlund","C","13.3","15","10","60.00","0.98","11","5","68.75","7.39","4","3","57.14","-8.37","0","1","0.00","-66.67","0.55","0.67","44.99","-14.93","6","5","54.55","6.16","2","2","50.00","-8.82","2","4","2","9","50.00","3","5","3","50.00"
"Lawson Crouse","L","7.1833333333333","8","9","47.06","-15.26","6","6","50.00","-16.67","4","5","44.44","-25.93","0","1","0.00","-66.67","0.57","0.81","41.49","-20.74","3","7","30.00","-26.25","3","3","50.00","-10.00","1","2","0","6","100.00","2","2","0","100.00"
"Logan Cooley","C","13.233333333333","18","12","60.00","1.07","12","8","60.00","-5.00","9","2","81.82","25.82","2","0","100.00","100.00","0.36","0.54","40.32","-19.51","8","8","50.00","0.00","1","3","25.00","-39.71","1","0","1","14","50.00","2","1","1","66.67"
"Matias Maccelli","L","7.3166666666667","10","8","55.56","-4.74","7","6","53.85","-12.11","4","5","44.44","-25.93","0","1","0.00","-66.67","0.61","0.71","46.25","-13.65","4","6","40.00","-13.13","3","3","50.00","-10.00","1","2","0","6","100.00","2","2","0","100.00"
"Maveric Lamoureux","D","12.633333333333","13","7","65.00","7.42","12","4","75.00","15.91","8","2","80.00","22.31","1","1","50.00","0.00","0.73","0.37","66.52","13.90","6","4","60.00","13.13","2","1","66.67","11.11","0","1","0","16","-","0","4","1","0.00"
"Michael Carcone","L","9.6666666666667","11","4","73.33","17.00","7","1","87.50","27.88","4","0","100.00","40.63","0","0","-","-","0.5","0.07","88.17","36.79","5","2","71.43","25.71","2","0","100.00","47.37","1","2","0","10","100.00","2","3","1","66.67"
"Michael Kesselring","D","14","22","11","66.67","11.95","13","8","61.90","-2.20","8","5","61.54","-3.68","0","1","0.00","-66.67","1.18","0.47","71.69","24.63","11","5","68.75","30.29","7","1","87.50","49.04","3","2","1","13","75.00","5","2","2","71.43"
"Mikhail Sergachev","D","18.216666666667","18","18","50.00","-16.00","16","11","59.26","-7.41","11","6","64.71","1.55","2","0","100.00","100.00","0.91","1.19","43.41","-23.21","10","12","45.45","-9.55","4","7","36.36","-43.64","0","5","3","14","0.00","2","6","5","28.57"
"Nick Bjugstad","C","5.9666666666667","7","8","46.67","-15.31","5","5","50.00","-16.00","3","5","37.50","-33.93","0","1","0.00","-66.67","0.55","0.64","46.07","-13.38","3","7","30.00","-26.25","3","3","50.00","-10.00","2","2","0","5","100.00","2","2","0","100.00"
"Nick Schmaltz","C","12.483333333333","15","10","60.00","0.98","13","8","61.90","-2.20","9","6","60.00","-6.67","1","1","50.00","0.00","1.23","0.61","67.00","18.46","12","3","80.00","46.67","6","3","66.67","16.67","0","2","3","10","0.00","2","4","5","28.57"
"Olli Maatta","D","19.466666666667","21","14","60.00","1.18","13","7","65.00","2.50","6","4","60.00","-5.38","0","0","-","-","1.03","0.7","59.70","6.01","11","8","57.89","14.42","7","5","58.33","2.78","3","6","2","14","60.00","4","6","6","40.00"
"Robert Bortuzzo","D","4.85","5","7","41.67","-20.50","3","4","42.86","-23.18","2","3","40.00","-27.74","0","1","0.00","-66.67","0.09","0.33","20.89","-38.55","2","4","33.33","-19.44","0","1","0.00","-60.00","2","0","1","6","66.67","2","0","1","66.67"
