"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Alexander Kerfoot","C","12.75","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","3","4","42.86"
"Barrett Hayton","C","11.816666666667","0","0","0","0","0","3","0","0.45","5","3","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","5","5","50"
"Clayton Keller","R","13.233333333333","0","1","1","0","1","1","0","0.39","2","2","2","0","2","1","0","0","0","0","0","1","0","0","0","2","1","0","0","-"
"Dylan Guenther","R","11.116666666667","1","1","0","1","2","3","33.33","0.1","4","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","-"
"Ian Cole","D","18.55","0","0","0","0","0","2","0","0.23","5","3","1","0","0","0","0","0","0","0","0","0","1","1","1","4","0","0","0","-"
"Jack McBain","C","11.966666666667","1","0","0","0","1","2","50","0.19","6","4","1","0","1","2","0","0","0","0","0","0","1","0","0","3","0","0","0","-"
"Kevin Stenlund","C","13.3","0","0","0","0","0","2","0","0.29","5","1","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","3","1","75"
"Lawson Crouse","L","7.1833333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","100"
"Logan Cooley","C","13.233333333333","0","1","1","0","1","1","0","0.04","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","3","25"
"Matias Maccelli","L","7.3166666666667","0","0","0","0","0","0","-","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","0","0","0","-"
"Maveric Lamoureux","D","12.633333333333","0","0","0","0","0","2","0","0.01","3","1","0","1","0","0","2","1","1","0","0","0","0","0","1","3","1","0","0","-"
"Michael Carcone","L","9.6666666666667","0","0","0","0","0","1","0","0.1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"Michael Kesselring","D","14","0","0","0","0","0","1","0","0.03","5","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","-"
"Mikhail Sergachev","D","18.216666666667","0","0","0","0","0","0","-","0.03","2","0","0","0","0","0","2","1","1","0","0","0","0","1","1","6","3","0","0","-"
"Nick Bjugstad","C","5.9666666666667","0","0","0","0","0","2","0","0.39","3","2","2","0","1","0","2","1","1","0","0","0","0","0","1","1","0","2","1","66.67"
"Nick Schmaltz","C","12.483333333333","0","1","0","1","1","2","0","0.26","3","3","1","0","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","-"
"Olli Maatta","D","19.466666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","-"
"Robert Bortuzzo","D","4.85","0","0","0","0","0","0","-","0.04","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
