"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alexander Kerfoot","C","3.7333333333333","0","5","0.00","0.00","0","3","0.00","0.00","0","0","-","-","0","0","-","-","0","0.35","0.00","0.00","0","4","0.00","-75.00","0","1","0.00","0.00","0","0","2","3","0.00","1","0","2","33.33"
"Barrett Hayton","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Clayton Keller","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Dylan Guenther","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Ian Cole","D","3.9666666666667","0","2","0.00","0.00","0","2","0.00","0.00","0","0","-","-","0","0","-","-","0","0.27","0.00","0.00","0","1","0.00","-54.55","0","1","0.00","0.00","1","0","2","2","33.33","1","0","3","25.00"
"Jack McBain","C","1.95","0","2","0.00","0.00","0","2","0.00","0.00","0","0","-","-","0","0","-","-","0","0.2","0.00","0.00","0","2","0.00","-60.00","0","1","0.00","0.00","0","0","3","0","0.00","0","0","3","0.00"
"Kevin Stenlund","C","2.9666666666667","0","2","0.00","0.00","0","2","0.00","0.00","0","0","-","-","0","0","-","-","0","0.27","0.00","0.00","0","1","0.00","-54.55","0","1","0.00","0.00","0","0","2","4","0.00","0","0","2","0.00"
"Lawson Crouse","L","1.1","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","2","-","1","0","0","100.00"
"Logan Cooley","C","2.2333333333333","0","5","0.00","0.00","0","3","0.00","0.00","0","0","-","-","0","0","-","-","0","0.29","0.00","0.00","0","5","0.00","-85.71","0","1","0.00","0.00","0","0","3","1","0.00","0","0","3","0.00"
"Matias Maccelli","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Maveric Lamoureux","D","1.6","0","5","0.00","0.00","0","3","0.00","0.00","0","0","-","-","0","0","-","-","0","0.29","0.00","0.00","0","5","0.00","-85.71","0","1","0.00","0.00","0","0","2","0","0.00","0","0","2","0.00"
"Michael Carcone","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Michael Kesselring","D","0.43333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Mikhail Sergachev","D","3.9666666666667","0","2","0.00","0.00","0","2","0.00","0.00","0","0","-","-","0","0","-","-","0","0.27","0.00","0.00","0","1","0.00","-54.55","0","1","0.00","0.00","1","0","2","2","33.33","1","0","3","25.00"
"Nick Bjugstad","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Nick Schmaltz","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Olli Maatta","D","2.05","0","5","0.00","0.00","0","3","0.00","0.00","0","0","-","-","0","0","-","-","0","0.29","0.00","0.00","0","5","0.00","-85.71","0","1","0.00","0.00","0","0","2","2","0.00","0","0","2","0.00"
"Robert Bortuzzo","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
