"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Alexander Kerfoot","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Barrett Hayton","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Clayton Keller","R","6.1","11","0","100.00","33.33","6","0","100.00","50.00","3","0","100.00","0.00","0","0","-","-","0.51","0","100.00","30.10","5","0","100.00","-33.33","3","0","100.00","-","3","0","0","1","100.00","3","1","0","100.00"
"Dylan Guenther","R","6.1166666666667","11","0","100.00","33.33","6","0","100.00","50.00","3","0","100.00","0.00","0","0","-","-","0.51","0","100.00","30.10","5","0","100.00","-33.33","3","0","100.00","-","3","0","0","1","100.00","3","1","0","100.00"
"Ian Cole","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Jack McBain","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Kevin Stenlund","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Lawson Crouse","L","1.7833333333333","2","1","66.67","-33.33","1","1","50.00","-50.00","1","0","100.00","0.00","0","0","-","-","0.14","0.06","69.90","-30.10","1","1","50.00","-","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Logan Cooley","C","6.2166666666667","11","0","100.00","33.33","6","0","100.00","50.00","3","0","100.00","0.00","0","0","-","-","0.51","0","100.00","30.10","5","0","100.00","-33.33","3","0","100.00","-","3","0","0","1","100.00","3","1","0","100.00"
"Matias Maccelli","L","1.9833333333333","2","1","66.67","-33.33","1","1","50.00","-50.00","1","0","100.00","0.00","0","0","-","-","0.14","0.06","69.90","-30.10","1","1","50.00","-","0","0","-","-","1","0","0","1","100.00","2","0","0","100.00"
"Maveric Lamoureux","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Michael Carcone","L","1.85","2","1","66.67","-33.33","1","1","50.00","-50.00","1","0","100.00","0.00","0","0","-","-","0.14","0.06","69.90","-30.10","1","1","50.00","-","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Michael Kesselring","D","2.2333333333333","3","1","75.00","-25.00","1","1","50.00","-50.00","1","0","100.00","0.00","0","0","-","-","0.14","0.06","69.90","-30.10","2","1","66.67","-33.33","0","0","-","-","1","0","0","2","100.00","2","0","0","100.00"
"Mikhail Sergachev","D","5.9166666666667","11","0","100.00","33.33","6","0","100.00","50.00","3","0","100.00","0.00","0","0","-","-","0.51","0","100.00","30.10","5","0","100.00","-33.33","3","0","100.00","-","3","0","0","1","100.00","3","1","0","100.00"
"Nick Bjugstad","C","1.85","2","1","66.67","-33.33","1","1","50.00","-50.00","1","0","100.00","0.00","0","0","-","-","0.14","0.06","69.90","-30.10","1","1","50.00","-","0","0","-","-","2","0","0","1","100.00","2","0","0","100.00"
"Nick Schmaltz","C","5.95","10","0","100.00","25.00","6","0","100.00","50.00","3","0","100.00","0.00","0","0","-","-","0.51","0","100.00","30.10","4","0","100.00","-50.00","3","0","100.00","-","3","0","0","1","100.00","3","1","0","100.00"
"Olli Maatta","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Robert Bortuzzo","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
