"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Clayton Keller","R","6.1","0","0","0","0","0","0","-","0.13","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"Dylan Guenther","R","6.1166666666667","0","0","0","0","0","2","0","0.14","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Lawson Crouse","L","1.7833333333333","0","0","0","0","0","1","0","0.14","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Logan Cooley","C","6.2166666666667","0","0","0","0","0","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","25"
"Matias Maccelli","L","1.9833333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Michael Carcone","L","1.85","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"Michael Kesselring","D","2.2333333333333","0","0","0","0","0","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"Mikhail Sergachev","D","5.9166666666667","0","0","0","0","0","0","-","0.04","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Nick Bjugstad","C","1.85","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50"
"Nick Schmaltz","C","5.95","0","0","0","0","0","1","0","0.19","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
