"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Wilsby","D","22.6","16","23","41.03","-1.44","12","18","40.00","-1.38","10","15","40.00","-1.46","0","3","0.00","-50.00","0.83","1.51","35.60","9.91","9","14","39.13","-15.97","3","7","30.00","-16.15","2","3","3","20","40.00","8","7","5","61.54"
"Brady Skjei","D","18.233333333333","11","25","30.56","-16.81","10","21","32.26","-13.36","8","16","33.33","-11.90","0","1","0.00","-33.33","0.53","2.11","19.93","-14.37","4","13","23.53","-34.65","2","7","22.22","-27.78","1","3","7","13","12.50","4","4","10","28.57"
"Cole Smith","R","16.683333333333","8","22","26.67","-20.89","7","17","29.17","-16.15","5","12","29.41","-15.49","0","0","-","-","0.18","1.26","12.74","-20.36","2","12","14.29","-44.33","1","4","20.00","-24.44","1","4","7","11","12.50","1","5","8","11.11"
"Colton Sissons","C","13.616666666667","6","18","25.00","-21.59","5","16","23.81","-22.46","4","12","25.00","-21.00","0","1","0.00","-33.33","0.15","1.4","9.63","-24.72","2","11","15.38","-42.24","1","4","20.00","-24.44","1","4","6","10","14.29","1","4","7","12.50"
"Fedor Svechkov","C","12.083333333333","7","12","36.84","-6.17","4","9","30.77","-11.90","2","9","18.18","-27.27","0","0","-","-","0.1","0.82","10.74","-20.92","4","7","36.36","-16.10","1","4","20.00","-24.44","3","4","1","9","75.00","5","4","3","62.50"
"Filip Forsberg","L","19.366666666667","18","19","48.65","9.98","13","16","44.83","5.84","8","13","38.10","-4.13","2","3","40.00","40.00","0.84","2.37","26.28","-4.89","9","13","40.91","-13.09","4","6","40.00","1.54","6","3","4","11","60.00","9","4","6","60.00"
"Gustav Nyquist","R","15.25","10","19","34.48","-10.10","9","16","36.00","-6.86","7","12","36.84","-5.71","0","3","0.00","-50.00","0.58","1.76","24.67","-6.40","4","8","33.33","-20.00","2","2","50.00","13.16","1","2","2","17","33.33","4","3","4","50.00"
"Jonathan Marchessault","R","16.183333333333","15","16","48.39","8.88","14","14","50.00","13.33","11","10","52.38","16.83","1","1","50.00","30.00","1.01","1.97","34.01","8.72","7","9","43.75","-8.04","3","3","50.00","14.71","4","3","2","12","66.67","9","4","5","64.29"
"Kevin Gravel","D","19.333333333333","13","23","36.11","-8.63","10","17","37.04","-5.59","6","12","33.33","-10.42","0","1","0.00","-33.33","0.66","1.68","28.02","-1.39","8","14","36.36","-19.64","3","6","33.33","-9.52","2","5","2","16","50.00","5","6","3","62.50"
"Luke Schenn","D","14.516666666667","15","15","50.00","10.98","10","12","45.45","6.06","8","7","53.33","16.08","1","1","50.00","30.00","0.4","0.47","46.23","19.69","6","7","46.15","-4.69","3","1","75.00","43.42","0","2","2","17","0.00","2","3","7","22.22"
"Michael McCarron","C","16.033333333333","11","20","35.48","-8.96","7","14","33.33","-9.95","6","9","40.00","-1.18","0","0","-","-","0.3","1.15","20.67","-10.43","4","13","23.53","-34.65","1","3","25.00","-17.11","2","5","5","8","28.57","2","5","6","25.00"
"Nick Blankenburg","D","19.283333333333","13","21","38.24","-5.35","11","17","39.29","-2.38","8","12","40.00","-1.30","0","0","-","-","0.47","1.44","24.74","-5.77","4","11","26.67","-29.47","1","5","16.67","-30.39","2","4","9","12","18.18","7","4","10","41.18"
"Roman Josi","D","22.983333333333","23","21","52.27","16.98","16","17","48.48","12.12","12","14","46.15","8.65","2","3","40.00","40.00","0.87","1.87","31.73","4.53","10","11","47.62","-3.36","4","2","66.67","37.25","3","3","3","18","50.00","9","5","7","56.25"
"Ryan O'Reilly","C","17.25","21","19","52.50","16.39","16","16","50.00","14.29","12","13","48.00","11.41","2","3","40.00","40.00","1.12","2.3","32.65","7.13","11","12","47.83","-3.19","5","6","45.45","12.12","7","2","3","10","70.00","9","4","7","56.25"
"Steven Stamkos","C","14.333333333333","11","13","45.83","4.92","10","11","47.62","8.81","9","7","56.25","20.25","1","2","33.33","8.33","0.71","1.43","33.08","5.90","7","4","63.64","16.10","3","1","75.00","43.42","4","2","2","12","66.67","7","2","4","63.64"
"Tommy Novak","C","12.583333333333","14","8","63.64","26.97","10","6","62.50","26.39","7","5","58.33","21.30","0","1","0.00","-33.33","0.45","0.52","46.14","19.92","7","4","63.64","16.10","3","3","50.00","14.71","4","3","0","9","100.00","7","3","1","87.50"
"Vinnie Hinostroza","C","12.116666666667","15","12","55.56","17.91","9","8","52.94","14.91","7","7","50.00","11.54","1","2","33.33","8.33","0.58","0.52","52.95","28.41","7","7","50.00","0.00","4","2","66.67","37.25","2","2","2","11","50.00","3","3","5","37.50"
"Zachary L'Heureux","L","9.4666666666667","5","9","35.71","-7.14","4","8","33.33","-8.77","2","5","28.57","-13.80","0","0","-","-","0.1","0.59","14.06","-16.51","2","4","33.33","-18.18","0","3","0.00","-45.00","2","3","1","8","66.67","3","4","2","60.00"
