"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Wilsby","D","22.6","0","0","0","0","0","5","0","0.29","5","4","1","1","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","-"
"Brady Skjei","D","18.233333333333","0","0","0","0","0","1","0","0.01","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"Cole Smith","R","16.683333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","1","1","0","100"
"Colton Sissons","C","13.616666666667","0","0","0","0","0","0","-","0.07","1","1","1","1","0","0","0","0","0","0","0","0","0","0","5","1","0","0","3","0"
"Fedor Svechkov","C","12.083333333333","0","0","0","0","0","0","-","0","2","1","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","2","6","25"
"Filip Forsberg","L","19.366666666667","1","1","0","1","2","4","25","0.17","5","2","1","0","0","0","2","1","1","0","0","0","4","0","3","3","0","0","0","-"
"Gustav Nyquist","R","15.25","0","0","0","0","0","1","0","0.06","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","-"
"Jonathan Marchessault","R","16.183333333333","1","0","0","0","1","3","33.33","0.23","3","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","2","0","1","0"
"Kevin Gravel","D","19.333333333333","0","0","0","0","0","0","-","0.01","3","1","0","0","1","0","0","0","0","0","0","0","0","0","1","5","2","0","0","-"
"Luke Schenn","D","14.516666666667","0","0","0","0","0","0","-","0.01","1","0","0","0","0","0","0","0","0","0","0","0","1","1","4","0","0","0","0","-"
"Michael McCarron","C","16.033333333333","0","0","0","0","0","1","0","0.02","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","7","4","63.64"
"Nick Blankenburg","D","19.283333333333","0","0","0","0","0","4","0","0.31","6","2","1","0","1","1","0","0","0","0","0","0","0","0","0","2","1","0","0","-"
"Roman Josi","D","22.983333333333","0","1","1","0","1","2","0","0.17","4","1","1","0","0","0","2","1","1","0","0","0","1","0","0","0","0","0","0","-"
"Ryan O'Reilly","C","17.25","0","1","1","0","1","1","0","0.27","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","13","7","65"
"Steven Stamkos","C","14.333333333333","0","0","0","0","0","3","0","0.22","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","33.33"
"Tommy Novak","C","12.583333333333","0","0","0","0","0","1","0","0.08","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","2","0"
"Vinnie Hinostroza","C","12.116666666667","0","1","0","1","1","1","0","0.14","5","3","2","1","1","2","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"Zachary L'Heureux","L","9.4666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","6","3","3","0","0","1","2","0","3","1","0","0","0","-"
