"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Wilsby","D","20.366666666667","15","21","41.67","-5.00","11","17","39.29","-5.40","9","14","39.13","-6.32","0","2","0.00","-33.33","0.68","1.39","32.90","8.01","8","13","38.10","-19.05","3","7","30.00","-10.00","1","3","3","17","25.00","7","7","5","58.33"
"Brady Skjei","D","12.466666666667","11","16","40.74","-5.64","10","14","41.67","-1.47","8","11","42.11","-1.14","0","1","0.00","-25.00","0.53","1.29","29.04","1.75","4","7","36.36","-16.97","2","6","25.00","-16.67","1","2","4","12","20.00","4","3","5","44.44"
"Cole Smith","R","11.35","8","15","34.78","-13.16","7","12","36.84","-7.80","5","8","38.46","-5.72","0","0","-","-","0.18","0.78","19.09","-10.60","2","8","20.00","-36.52","1","3","25.00","-12.50","0","3","3","10","0.00","0","4","4","0.00"
"Colton Sissons","C","9.6","6","12","33.33","-14.10","5","10","33.33","-11.67","4","8","33.33","-12.12","0","0","-","-","0.15","0.59","20.21","-8.81","2","7","22.22","-33.10","1","3","25.00","-12.50","0","4","3","7","0.00","0","4","4","0.00"
"Fedor Svechkov","C","12.083333333333","7","12","36.84","-9.91","4","9","30.77","-14.39","2","9","18.18","-30.71","0","0","-","-","0.1","0.82","10.74","-20.48","4","7","36.36","-16.97","1","4","20.00","-20.00","3","4","1","9","75.00","5","4","3","62.50"
"Filip Forsberg","L","17.466666666667","15","18","45.45","1.01","10","15","40.00","-4.00","6","12","33.33","-14.04","1","3","25.00","25.00","0.5","2.3","17.77","-20.24","6","12","33.33","-24.56","2","6","25.00","-16.67","5","2","4","11","55.56","7","3","6","53.85"
"Gustav Nyquist","R","11.916666666667","8","16","33.33","-15.28","7","14","33.33","-12.96","6","10","37.50","-7.50","0","2","0.00","-33.33","0.27","1.58","14.61","-19.79","2","6","25.00","-29.17","1","2","33.33","-1.96","1","1","2","13","33.33","3","2","4","42.86"
"Jonathan Marchessault","R","14.283333333333","12","15","44.44","-0.48","11","13","45.83","4.66","9","9","50.00","10.53","0","1","0.00","-25.00","0.67","1.9","25.98","-3.48","4","8","33.33","-21.21","1","3","25.00","-12.50","3","2","2","12","60.00","7","3","5","58.33"
"Kevin Gravel","D","16.483333333333","12","19","38.71","-8.98","9","14","39.13","-5.10","5","10","33.33","-13.01","0","0","-","-","0.5","1.22","29.24","2.00","7","11","38.89","-16.37","3","6","33.33","-3.03","2","5","2","12","50.00","5","6","3","62.50"
"Luke Schenn","D","14.366666666667","15","15","50.00","7.58","10","12","45.45","3.95","8","7","53.33","14.31","1","1","50.00","50.00","0.4","0.47","46.23","21.77","6","7","46.15","-5.01","3","1","75.00","50.00","0","2","2","16","0.00","2","3","7","22.22"
"Michael McCarron","C","11.366666666667","10","13","43.48","-1.73","6","10","37.50","-6.57","5","6","45.45","3.23","0","0","-","-","0.15","0.67","18.09","-11.44","3","8","27.27","-28.28","1","3","25.00","-12.50","1","4","3","6","25.00","1","4","4","20.00"
"Nick Blankenburg","D","14.1","13","14","48.15","4.67","11","12","47.83","7.44","8","8","50.00","10.00","0","0","-","-","0.47","0.96","33.02","6.95","4","7","36.36","-16.97","1","4","20.00","-20.00","2","3","4","11","33.33","7","3","5","58.33"
"Roman Josi","D","20.8","20","20","50.00","8.93","13","16","44.83","3.52","10","13","43.48","1.05","1","3","25.00","25.00","0.52","1.81","22.49","-9.23","7","10","41.18","-12.67","2","2","50.00","18.75","3","2","3","16","50.00","6","4","7","46.15"
"Ryan O'Reilly","C","16.5","19","19","50.00","8.62","14","16","46.67","6.67","10","13","43.48","1.05","1","3","25.00","25.00","0.92","2.3","28.64","1.85","9","12","42.86","-11.43","4","6","40.00","10.00","6","1","3","9","66.67","8","3","6","57.14"
"Steven Stamkos","C","12.3","8","12","40.00","-6.05","7","10","41.18","-1.93","7","6","53.85","14.31","0","2","0.00","-33.33","0.36","1.36","20.86","-10.11","4","3","57.14","8.16","1","1","50.00","16.67","4","2","2","10","66.67","5","2","4","55.56"
"Tommy Novak","C","12.583333333333","14","8","63.64","24.45","10","6","62.50","25.21","7","5","58.33","19.70","0","1","0.00","-25.00","0.45","0.52","46.14","22.15","7","4","63.64","16.97","3","3","50.00","21.43","4","3","0","9","100.00","7","3","1","87.50"
"Vinnie Hinostroza","C","12.116666666667","15","12","55.56","14.98","9","8","52.94","13.29","7","7","50.00","9.52","1","2","33.33","33.33","0.58","0.52","52.95","31.27","7","7","50.00","0.00","4","2","66.67","45.24","2","2","2","11","50.00","3","3","5","37.50"
"Zachary L'Heureux","L","9.4666666666667","5","9","35.71","-10.63","4","8","33.33","-11.11","2","5","28.57","-16.33","0","0","-","-","0.1","0.59","14.06","-15.75","2","4","33.33","-18.67","0","3","0.00","-41.18","2","3","1","8","66.67","3","4","2","60.00"
