"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Wilsby","D","20.366666666667","0","0","0","0","0","4","0","0.14","4","3","1","1","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","-"
"Brady Skjei","D","12.466666666667","0","0","0","0","0","1","0","0.01","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"Cole Smith","R","11.35","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","-"
"Colton Sissons","C","9.6","0","0","0","0","0","0","-","0.07","1","1","1","1","0","0","0","0","0","0","0","0","0","0","5","1","0","0","2","0"
"Fedor Svechkov","C","12.083333333333","0","0","0","0","0","0","-","0","2","1","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","2","6","25"
"Filip Forsberg","L","17.466666666667","1","0","0","0","1","4","25","0.17","5","2","1","0","0","0","2","1","1","0","0","0","4","0","3","3","0","0","0","-"
"Gustav Nyquist","R","11.916666666667","0","0","0","0","0","1","0","0.06","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","-"
"Jonathan Marchessault","R","14.283333333333","0","0","0","0","0","2","0","0.09","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","2","0","1","0"
"Kevin Gravel","D","16.483333333333","0","0","0","0","0","0","-","0.01","3","1","0","0","1","0","0","0","0","0","0","0","0","0","1","5","2","0","0","-"
"Luke Schenn","D","14.366666666667","0","0","0","0","0","0","-","0.01","1","0","0","0","0","0","0","0","0","0","0","0","1","1","4","0","0","0","0","-"
"Michael McCarron","C","11.366666666667","0","0","0","0","0","1","0","0.02","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","4","3","57.14"
"Nick Blankenburg","D","14.1","0","0","0","0","0","4","0","0.31","6","2","1","0","1","1","0","0","0","0","0","0","0","0","0","2","1","0","0","-"
"Roman Josi","D","20.8","0","1","1","0","1","2","0","0.01","3","0","0","0","0","0","2","1","1","0","0","0","1","0","0","0","0","0","0","-"
"Ryan O'Reilly","C","16.5","0","0","0","0","0","1","0","0.27","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","11","6","64.71"
"Steven Stamkos","C","12.3","0","0","0","0","0","2","0","0.17","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","37.5"
"Tommy Novak","C","12.583333333333","0","0","0","0","0","1","0","0.08","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","2","0"
"Vinnie Hinostroza","C","12.116666666667","0","1","0","1","1","1","0","0.14","5","3","2","1","1","2","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"Zachary L'Heureux","L","9.4666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","6","3","3","0","0","1","2","0","3","1","0","0","0","-"
