"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Wilsby","D","2.1666666666667","1","2","33.33","33.33","1","1","50.00","50.00","1","1","50.00","50.00","0","1","0.00","-","0.15","0.12","56.18","56.18","1","1","50.00","0.00","0","0","-","-","0","0","0","3","-","0","0","0","-"
"Brady Skjei","D","5.7666666666667","0","9","0.00","-33.33","0","7","0.00","-50.00","0","5","0.00","-50.00","0","0","-","-","0","0.83","0.00","-56.18","0","6","0.00","-87.50","0","1","0.00","-","0","1","3","1","0.00","0","1","5","0.00"
"Cole Smith","R","5.2666666666667","0","7","0.00","-20.00","0","5","0.00","-25.00","0","4","0.00","-33.33","0","0","-","-","0","0.48","0.00","-24.64","0","4","0.00","-70.00","0","1","0.00","-","0","1","4","1","0.00","0","1","4","0.00"
"Colton Sissons","C","3.95","0","6","0.00","-16.67","0","6","0.00","-33.33","0","4","0.00","-33.33","0","1","0.00","-","0","0.81","0.00","-52.90","0","4","0.00","-70.00","0","1","0.00","-","0","0","3","3","0.00","0","0","3","0.00"
"Fedor Svechkov","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Filip Forsberg","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Gustav Nyquist","R","1.8833333333333","1","2","33.33","33.33","1","1","50.00","50.00","1","1","50.00","50.00","0","1","0.00","-","0.15","0.12","56.18","56.18","1","1","50.00","0.00","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Jonathan Marchessault","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Kevin Gravel","D","2.85","1","4","20.00","20.00","1","3","25.00","25.00","1","2","33.33","33.33","0","1","0.00","-","0.15","0.47","24.64","24.64","1","3","25.00","-35.00","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Luke Schenn","D","0.15","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Michael McCarron","C","4.6","1","7","12.50","12.50","1","4","20.00","20.00","1","3","25.00","25.00","0","0","-","-","0.15","0.48","23.98","23.98","1","5","16.67","-58.33","0","0","-","-","0","1","2","2","0.00","0","1","2","0.00"
"Nick Blankenburg","D","5.1833333333333","0","7","0.00","-20.00","0","5","0.00","-25.00","0","4","0.00","-33.33","0","0","-","-","0","0.48","0.00","-24.64","0","4","0.00","-70.00","0","1","0.00","-","0","1","5","1","0.00","0","1","5","0.00"
"Roman Josi","D","0.21666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Ryan O'Reilly","C","0.25","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","1","0.00"
"Steven Stamkos","C","0.18333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Tommy Novak","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Vinnie Hinostroza","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Zachary L'Heureux","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
