"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Wilsby","D","2.1666666666667","0","0","0","0","0","1","0","0.15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Brady Skjei","D","5.7666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Cole Smith","R","5.2666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","100"
"Colton Sissons","C","3.95","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Gustav Nyquist","R","1.8833333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Kevin Gravel","D","2.85","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Luke Schenn","D","0.15","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Michael McCarron","C","4.6","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","1","66.67"
"Nick Blankenburg","D","5.1833333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Roman Josi","D","0.21666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Ryan O'Reilly","C","0.25","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Steven Stamkos","C","0.18333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
