"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Wilsby","D","0.066666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","0","0","0","100.00","1","0","0","100.00"
"Brady Skjei","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Cole Smith","R","0.066666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","0","0","0","100.00","1","0","0","100.00"
"Colton Sissons","C","0.066666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","0","0","0","100.00","1","0","0","100.00"
"Fedor Svechkov","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Filip Forsberg","L","1.9","3","1","75.00","-","3","1","75.00","-","2","1","66.67","-","1","0","100.00","-","0.35","0.07","84.16","-","3","1","75.00","-25.00","2","0","100.00","-","1","1","0","0","100.00","2","1","0","100.00"
"Gustav Nyquist","R","1.45","1","1","50.00","-50.00","1","1","50.00","-50.00","0","1","0.00","-100.00","0","0","-","-","0.15","0.07","70.27","-29.73","1","1","50.00","-","1","0","100.00","0.00","0","1","0","0","-","1","1","0","100.00"
"Jonathan Marchessault","R","1.9","3","1","75.00","-","3","1","75.00","-","2","1","66.67","-","1","0","100.00","-","0.35","0.07","84.16","-","3","1","75.00","-25.00","2","0","100.00","-","1","1","0","0","100.00","2","1","0","100.00"
"Kevin Gravel","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Luke Schenn","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Michael McCarron","C","0.066666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","0","0","0","100.00","1","0","0","100.00"
"Nick Blankenburg","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Roman Josi","D","1.9666666666667","3","1","75.00","-","3","1","75.00","-","2","1","66.67","-","1","0","100.00","-","0.35","0.07","84.16","-","3","1","75.00","-25.00","2","0","100.00","-","0","1","0","1","-","3","1","0","100.00"
"Ryan O'Reilly","C","0.5","2","0","100.00","50.00","2","0","100.00","50.00","2","0","100.00","100.00","1","0","100.00","-","0.19","0","100.00","29.73","2","0","100.00","inf","1","0","100.00","0.00","1","1","0","0","100.00","1","1","0","100.00"
"Steven Stamkos","C","1.85","3","1","75.00","-","3","1","75.00","-","2","1","66.67","-","1","0","100.00","-","0.35","0.07","84.16","-","3","1","75.00","-25.00","2","0","100.00","-","0","0","0","1","-","2","0","0","100.00"
"Tommy Novak","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Vinnie Hinostroza","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Zachary L'Heureux","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
