"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Gaudette","R","11.216666666667","16","13","55.17","-3.86","13","9","59.09","0.00","9","8","52.94","-8.28","2","0","100.00","40.00","1.63","0.34","82.97","16.51","13","4","76.47","43.14","5","1","83.33","30.39","3","2","0","13","100.00","3","3","0","100.00"
"Artem Zub","D","22.166666666667","22","21","51.16","-11.16","19","15","55.88","-5.23","12","15","44.44","-24.79","3","2","60.00","-40.00","1.56","0.73","68.23","-4.15","12","9","57.14","13.66","6","4","60.00","-1.54","3","3","3","19","50.00","6","4","7","46.15"
"Brady Tkachuk","L","20.833333333333","29","11","72.50","22.50","24","9","72.73","21.82","19","7","73.08","23.08","2","1","66.67","-8.33","2.9","0.44","86.79","29.81","15","5","75.00","45.83","7","1","87.50","40.83","8","2","1","15","88.89","14","2","3","82.35"
"Claude Giroux","R","19.466666666667","22","8","73.33","20.89","17","7","70.83","16.15","14","6","70.00","15.65","1","1","50.00","-30.00","2","0.27","87.98","24.91","11","3","78.57","41.90","5","1","83.33","30.39","8","2","2","15","80.00","14","2","4","77.78"
"Cole Reinhardt","L","5.4333333333333","2","6","25.00","-35.58","2","4","33.33","-27.64","2","1","66.67","7.94","0","0","-","-","0.03","0.11","23.08","-48.98","0","2","0.00","-52.38","0","1","0.00","-63.64","0","4","2","2","0.00","0","5","2","0.00"
"David Perron","L","14.733333333333","20","12","62.50","6.25","15","9","62.50","4.69","11","6","64.71","7.56","2","0","100.00","40.00","1.69","0.64","72.39","2.01","15","5","75.00","45.83","5","2","71.43","15.18","1","1","3","18","25.00","1","1","4","20.00"
"Drake Batherson","R","19.383333333333","19","17","52.78","-7.75","15","13","53.57","-8.10","11","11","50.00","-13.64","1","0","100.00","33.33","0.86","0.84","50.73","-26.69","9","8","52.94","4.79","2","4","33.33","-37.25","7","4","2","12","77.78","8","5","6","57.14"
"Jake Sanderson","D","24.833333333333","27","17","61.36","5.48","23","12","65.71","11.00","15","12","55.56","-5.98","2","2","50.00","-50.00","2","0.68","74.77","5.99","16","8","66.67","36.67","8","4","66.67","12.12","6","4","3","19","66.67","11","5","7","61.11"
"Matthew Highmore","C","13.816666666667","12","7","63.16","6.17","10","6","62.50","4.17","7","5","58.33","-0.93","1","0","100.00","33.33","0.63","0.25","71.63","0.67","5","4","55.56","6.98","2","2","50.00","-13.16","2","6","4","13","33.33","4","6","6","40.00"
"Michael Amadio","R","15.133333333333","12","10","54.55","-4.34","9","6","60.00","1.10","6","2","75.00","18.10","0","0","-","-","0.85","0.27","75.63","5.45","6","4","60.00","12.94","3","1","75.00","17.11","1","4","3","13","25.00","2","5","3","40.00"
"Nikolas Matinpalo","D","12.266666666667","14","9","60.87","3.57","12","8","60.00","1.18","11","4","73.33","18.43","0","0","-","-","0.85","0.25","77.08","7.15","6","4","60.00","12.94","4","1","80.00","24.44","4","4","2","11","66.67","5","5","4","55.56"
"Ridly Greig","C","17.1","27","14","65.85","12.33","20","12","62.50","5.36","15","9","62.50","5.36","2","1","66.67","-8.33","2.29","1.07","68.25","-5.30","15","9","62.50","27.50","4","4","50.00","-16.67","4","1","6","14","40.00","4","1","10","28.57"
"Shane Pinto","C","17.916666666667","13","19","40.63","-24.38","11","15","42.31","-23.82","9","10","47.37","-16.46","1","1","50.00","-30.00","0.9","1.07","45.80","-34.92","8","12","40.00","-18.33","3","5","37.50","-35.83","3","8","6","11","33.33","3","10","11","21.43"
"Thomas Chabot","D","22.4","27","21","56.25","-3.13","20","16","55.56","-5.98","16","10","61.54","4.04","3","0","100.00","50.00","2.44","1.16","67.72","-6.77","15","11","57.69","18.80","3","4","42.86","-25.89","3","3","6","17","33.33","5","5","8","38.46"
"Tim Stützle","C","21.5","23","15","60.53","3.77","18","10","64.29","7.62","13","10","56.52","-3.94","2","1","66.67","-8.33","1.54","0.35","81.59","14.38","12","4","75.00","39.29","5","2","71.43","15.18","6","3","0","18","100.00","11","3","1","91.67"
"Travis Hamonic","D","17.566666666667","18","16","52.94","-7.32","13","12","52.00","-9.90","10","7","58.82","-0.36","2","0","100.00","40.00","1.6","0.92","63.49","-11.72","10","8","55.56","9.40","2","4","33.33","-37.25","4","3","6","13","40.00","5","5","8","38.46"
"Tyler Kleven","D","13.3","11","9","55.00","-3.70","9","8","52.94","-7.62","8","5","61.54","3.05","0","0","-","-","0.59","0.21","73.55","2.82","5","3","62.50","15.28","3","1","75.00","17.11","4","4","3","10","57.14","5","5","4","55.56"
"Zack Ostapchuk","C","7.9333333333333","10","5","66.67","9.97","9","4","69.23","11.90","6","3","66.67","8.77","1","0","100.00","33.33","0.75","0.09","89.73","21.19","6","2","75.00","30.56","3","0","100.00","45.00","3","1","3","7","50.00","4","2","3","57.14"
