"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Gaudette","R","11.216666666667","1","1","1","0","2","3","33.33","0.77","8","5","1","0","2","2","0","0","0","0","0","0","0","0","1","0","1","1","1","50"
"Artem Zub","D","22.166666666667","0","2","0","2","2","1","0","0.01","1","0","0","0","0","0","0","0","0","0","0","0","3","0","1","3","0","0","0","-"
"Brady Tkachuk","L","20.833333333333","0","2","2","0","2","3","0","0.24","4","3","2","0","0","0","0","0","0","0","0","1","0","2","1","1","0","0","2","0"
"Claude Giroux","R","19.466666666667","0","1","0","1","1","1","0","0.11","2","1","1","0","0","0","0","0","0","0","0","0","3","0","3","1","0","7","5","58.33"
"Cole Reinhardt","L","5.4333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"David Perron","L","14.733333333333","1","1","0","1","2","3","33.33","0.51","5","2","1","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","-"
"Drake Batherson","R","19.383333333333","0","0","0","0","0","3","0","0.43","5","5","2","1","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0","-"
"Jake Sanderson","D","24.833333333333","1","0","0","0","1","3","33.33","0.09","6","1","0","0","0","0","0","0","0","0","0","0","2","0","0","3","3","0","0","-"
"Matthew Highmore","C","13.816666666667","0","1","1","0","1","1","0","0.27","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Michael Amadio","R","15.133333333333","0","0","0","0","0","1","0","0.09","1","1","1","0","0","1","0","0","0","0","0","0","0","0","2","1","2","1","1","50"
"Nikolas Matinpalo","D","12.266666666667","0","0","0","0","0","3","0","0.11","4","1","0","0","0","1","0","0","0","0","0","0","1","0","0","8","0","0","0","-"
"Ridly Greig","C","17.1","1","0","0","0","1","2","50","1.02","2","2","1","1","0","0","0","0","0","0","0","1","0","0","2","3","0","7","4","63.64"
"Shane Pinto","C","17.916666666667","1","0","0","0","1","7","14.29","0.83","10","7","2","0","1","1","0","0","0","0","0","1","1","0","1","0","0","9","11","45"
"Thomas Chabot","D","22.4","0","1","0","1","1","3","0","0.04","4","2","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","-"
"Tim Stützle","C","21.5","0","1","1","0","1","3","0","0.28","3","1","1","0","0","1","0","0","0","0","0","0","0","1","2","2","1","1","1","50"
"Travis Hamonic","D","17.566666666667","0","0","0","0","0","0","-","0.05","5","2","0","0","1","0","2","1","1","0","0","0","4","0","2","2","0","0","0","-"
"Tyler Kleven","D","13.3","0","0","0","0","0","1","0","0.01","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","-"
"Zack Ostapchuk","C","7.9333333333333","0","0","0","0","0","1","0","0.19","1","1","1","0","1","0","2","1","1","0","0","2","0","0","2","1","0","3","1","75"
