"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Gaudette","R","8.7","12","12","50.00","-6.94","10","8","55.56","-2.34","7","7","50.00","-9.52","2","0","100.00","33.33","1.18","0.18","86.60","19.13","9","3","75.00","37.50","5","1","83.33","26.19","3","2","0","10","100.00","3","3","0","100.00"
"Artem Zub","D","20.133333333333","20","19","51.28","-6.61","17","13","56.67","-1.11","10","13","43.48","-23.19","2","1","66.67","-33.33","1.37","0.53","72.04","-0.16","11","7","61.11","22.22","6","3","66.67","3.03","3","2","2","17","60.00","6","3","5","54.55"
"Brady Tkachuk","L","14.7","20","11","64.52","13.75","17","9","65.38","12.32","14","7","66.67","15.24","1","1","50.00","-50.00","2.06","0.44","82.35","18.52","10","5","66.67","28.57","6","1","85.71","31.87","5","1","1","15","83.33","9","1","3","75.00"
"Claude Giroux","R","13.683333333333","16","8","66.67","15.28","13","7","65.00","10.45","11","6","64.71","10.86","1","1","50.00","-50.00","1.62","0.27","85.60","20.37","8","3","72.73","32.73","4","1","80.00","20.00","5","1","1","15","83.33","9","1","3","75.00"
"Cole Reinhardt","L","5.4333333333333","2","6","25.00","-32.95","2","4","33.33","-26.09","2","1","66.67","10.06","0","0","-","-","0.03","0.11","23.08","-50.40","0","2","0.00","-52.94","0","1","0.00","-68.42","0","4","2","2","0.00","0","5","2","0.00"
"David Perron","L","11.95","15","11","57.69","3.41","11","8","57.89","0.75","8","5","61.54","5.72","1","0","100.00","25.00","1.11","0.49","69.44","-3.79","11","4","73.33","40.00","5","2","71.43","9.89","1","1","3","14","25.00","1","1","4","20.00"
"Drake Batherson","R","14.05","13","17","43.33","-17.27","11","13","45.83","-16.91","8","11","42.11","-22.76","1","0","100.00","25.00","0.48","0.84","36.72","-46.39","6","8","42.86","-11.69","1","4","20.00","-60.00","3","3","2","12","60.00","3","4","6","33.33"
"Jake Sanderson","D","17.883333333333","20","15","57.14","3.04","18","10","64.29","11.09","11","10","52.38","-7.62","2","1","66.67","-33.33","1.56","0.48","76.36","6.67","12","6","66.67","33.33","7","3","70.00","10.00","2","2","2","19","50.00","6","3","5","54.55"
"Matthew Highmore","C","13.316666666667","12","7","63.16","9.91","10","6","62.50","6.57","7","5","58.33","1.52","1","0","100.00","25.00","0.63","0.25","71.63","-0.61","5","4","55.56","7.41","2","2","50.00","-18.75","2","6","4","13","33.33","4","6","6","40.00"
"Michael Amadio","R","14.766666666667","12","10","54.55","-0.86","9","6","60.00","3.33","6","2","75.00","20.83","0","0","-","-","0.85","0.27","75.63","4.37","6","4","60.00","13.85","3","1","75.00","12.50","1","4","3","12","25.00","2","5","3","40.00"
"Nikolas Matinpalo","D","12.266666666667","14","9","60.87","7.44","12","8","60.00","3.64","11","4","73.33","22.11","0","0","-","-","0.85","0.25","77.08","6.16","6","4","60.00","13.85","4","1","80.00","20.00","4","4","2","11","66.67","5","5","4","55.56"
"Ridly Greig","C","13.4","22","10","68.75","20.31","16","8","66.67","13.73","12","6","66.67","14.04","2","0","100.00","33.33","1.77","0.57","75.78","6.26","10","5","66.67","28.57","4","2","66.67","2.38","4","0","5","10","44.44","4","0","7","36.36"
"Shane Pinto","C","14.883333333333","10","15","40.00","-20.56","9","11","45.00","-16.82","7","7","50.00","-9.52","1","0","100.00","25.00","0.73","0.57","56.30","-20.64","5","8","38.46","-18.06","3","3","50.00","-21.43","3","7","6","8","33.33","3","9","9","25.00"
"Thomas Chabot","D","19.25","22","19","53.66","-2.71","16","14","53.33","-6.67","13","9","59.09","3.21","2","0","100.00","33.33","1.87","0.86","68.56","-7.01","11","9","55.00","11.25","3","3","50.00","-21.43","3","3","6","12","33.33","5","5","7","41.67"
"Tim Stützle","C","15.783333333333","16","15","51.61","-5.31","13","10","56.52","-1.17","9","10","47.37","-14.79","1","1","50.00","-50.00","1.05","0.35","75.08","3.92","9","4","69.23","30.10","4","2","66.67","2.38","2","2","0","18","100.00","6","2","1","85.71"
"Travis Hamonic","D","17.116666666667","18","15","54.55","-1.01","13","11","54.17","-4.66","10","7","58.82","2.41","2","0","100.00","33.33","1.6","0.77","67.62","-7.86","10","7","58.82","16.72","2","3","40.00","-33.33","4","3","6","12","40.00","5","5","7","41.67"
"Tyler Kleven","D","13.3","11","9","55.00","-0.26","9","8","52.94","-5.68","8","5","61.54","5.72","0","0","-","-","0.59","0.21","73.55","1.64","5","3","62.50","16.07","3","1","75.00","12.50","4","4","3","10","57.14","5","5","4","55.56"
"Zack Ostapchuk","C","7.9333333333333","10","5","66.67","13.58","9","4","69.23","14.39","6","3","66.67","11.35","1","0","100.00","25.00","0.75","0.09","89.73","20.69","6","2","75.00","32.14","3","0","100.00","41.18","3","1","3","7","50.00","4","2","3","57.14"
