"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Gaudette","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Artem Zub","D","1.5","1","2","33.33","33.33","1","2","33.33","33.33","1","2","33.33","-","0","1","0.00","-","0.07","0.19","25.32","25.32","1","2","33.33","-33.33","0","1","0.00","0.00","0","1","1","0","0.00","0","1","2","0.00"
"Brady Tkachuk","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Claude Giroux","R","0.56666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","1","0","0.00","0","0","1","0.00"
"Cole Reinhardt","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"David Perron","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Drake Batherson","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Jake Sanderson","D","1.5166666666667","1","2","33.33","33.33","1","2","33.33","33.33","1","2","33.33","-","0","1","0.00","-","0.07","0.19","25.32","25.32","1","2","33.33","-33.33","0","1","0.00","0.00","0","1","1","0","0.00","0","1","2","0.00"
"Matthew Highmore","C","0.5","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Michael Amadio","R","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Nikolas Matinpalo","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Ridly Greig","C","1.4666666666667","1","3","25.00","-","1","3","25.00","-","1","2","33.33","-","0","1","0.00","-","0.07","0.35","15.84","-","1","3","25.00","-75.00","0","2","0.00","-","0","1","1","1","0.00","0","1","3","0.00"
"Shane Pinto","C","1.4","1","3","25.00","-","1","3","25.00","-","1","2","33.33","-","0","1","0.00","-","0.07","0.35","15.84","-","1","3","25.00","-75.00","0","2","0.00","-","0","1","0","1","-","0","1","2","0.00"
"Thomas Chabot","D","0.46666666666667","0","1","0.00","-33.33","0","1","0.00","-33.33","0","0","-","-","0","0","-","-","0","0.15","0.00","-25.32","0","1","0.00","-60.00","0","1","0.00","0.00","0","0","0","1","-","0","0","1","0.00"
"Tim Stützle","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Travis Hamonic","D","0.45","0","1","0.00","-33.33","0","1","0.00","-33.33","0","0","-","-","0","0","-","-","0","0.15","0.00","-25.32","0","1","0.00","-60.00","0","1","0.00","0.00","0","0","0","1","-","0","0","1","0.00"
"Tyler Kleven","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Zack Ostapchuk","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
