"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","xGF","xGA","xGF%","xGF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Adam Gaudette","R","2.5166666666667","4","1","80.00","-20.00","3","1","75.00","-25.00","2","1","66.67","-33.33","0","0","-","-","0.45","0.15","74.80","-25.20","4","1","80.00","-20.00","0","0","-","-","0","0","0","3","-","0","0","0","-"
"Artem Zub","D","0.53333333333333","1","0","100.00","9.09","1","0","100.00","12.50","1","0","100.00","16.67","1","0","100.00","-","0.12","0","100.00","15.55","0","0","-","-","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Brady Tkachuk","L","6.1333333333333","9","0","100.00","33.33","7","0","100.00","50.00","5","0","100.00","50.00","1","0","100.00","-","0.84","0","100.00","59.18","5","0","100.00","-33.33","1","0","100.00","-","3","1","0","0","100.00","5","1","0","100.00"
"Claude Giroux","R","5.2166666666667","6","0","100.00","16.67","4","0","100.00","20.00","3","0","100.00","25.00","0","0","-","-","0.38","0","100.00","21.06","3","0","100.00","-100.00","1","0","100.00","-","3","1","0","0","100.00","5","1","0","100.00"
"Cole Reinhardt","L","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"David Perron","L","2.7833333333333","5","1","83.33","-16.67","4","1","80.00","-20.00","3","1","75.00","-25.00","1","0","100.00","-","0.57","0.15","78.94","-21.06","4","1","80.00","-20.00","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Drake Batherson","R","5.3333333333333","6","0","100.00","16.67","4","0","100.00","20.00","3","0","100.00","25.00","0","0","-","-","0.38","0","100.00","21.06","3","0","100.00","-100.00","1","0","100.00","-","4","1","0","0","100.00","5","1","0","100.00"
"Jake Sanderson","D","5.4333333333333","6","0","100.00","16.67","4","0","100.00","20.00","3","0","100.00","25.00","0","0","-","-","0.38","0","100.00","21.06","3","0","100.00","-100.00","1","0","100.00","-","4","1","0","0","100.00","5","1","0","100.00"
"Matthew Highmore","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Michael Amadio","R","0.36666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","1","-","0","0","0","-"
"Nikolas Matinpalo","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Ridly Greig","C","2.2333333333333","4","1","80.00","-20.00","3","1","75.00","-25.00","2","1","66.67","-33.33","0","0","-","-","0.45","0.15","74.80","-25.20","4","1","80.00","-20.00","0","0","-","-","0","0","0","3","-","0","0","0","-"
"Shane Pinto","C","1.6333333333333","2","1","66.67","-33.33","1","1","50.00","-50.00","1","1","50.00","-50.00","0","0","-","-","0.11","0.15","40.82","-59.18","2","1","66.67","-33.33","0","0","-","-","0","0","0","2","-","0","0","0","-"
"Thomas Chabot","D","2.6833333333333","5","1","83.33","-16.67","4","1","80.00","-20.00","3","1","75.00","-25.00","1","0","100.00","-","0.57","0.15","78.94","-21.06","4","1","80.00","-20.00","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Tim Stützle","C","5.7166666666667","7","0","100.00","20.00","5","0","100.00","25.00","4","0","100.00","33.33","1","0","100.00","-","0.49","0","100.00","25.20","3","0","100.00","-100.00","1","0","100.00","-","4","1","0","0","100.00","5","1","0","100.00"
"Travis Hamonic","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Tyler Kleven","D","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
"Zack Ostapchuk","C","0","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","0","-","0","0","0","-"
