"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Gaudette","R","2.5166666666667","0","0","0","0","0","1","0","0.35","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Artem Zub","D","0.53333333333333","0","1","0","1","1","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Brady Tkachuk","L","6.1333333333333","0","1","1","0","1","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Claude Giroux","R","5.2166666666667","0","0","0","0","0","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","60"
"David Perron","L","2.7833333333333","1","0","0","0","1","1","100","0.12","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","-"
"Drake Batherson","R","5.3333333333333","0","0","0","0","0","1","0","0.29","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Jake Sanderson","D","5.4333333333333","0","0","0","0","0","1","0","0.03","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Michael Amadio","R","0.36666666666667","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Ridly Greig","C","2.2333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"Shane Pinto","C","1.6333333333333","0","0","0","0","0","1","0","0.11","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Thomas Chabot","D","2.6833333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Tim Stützle","C","5.7166666666667","0","0","0","0","0","1","0","0.06","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
